cytokine,cell,Cell ontology Label
IFNG,CL_0000586,germ cell
IL6,CL_0002363,keratocyte
CXCL10,CL_0000814,mature NK T cell
PDGF,CL_0000740,retinal ganglion cell
OSM,CL_0002320,connective tissue cell
TGFB,CL_0000700,dopaminergic neuron
CCL19,CL_0000771,eosinophil
SPP1,CL_0000233,platelet
IL22,CL_0000113,mononuclear phagocyte
IL6,CL_0000091,Kupffer cell
TGFB,CL_0002140,acinar cell of sebaceous gland
IL18,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
TGFB2,CL_0000586,germ cell
CCL1,CL_0000097,mast cell
IL22,CL_0002586,retinal pigment epithelial cell
TGFB1,CL_0000767,basophil
IFNG,CL_0000811,"CD8-positive, alpha-beta thymocyte"
CCL3,CL_0000218,myelinating Schwann cell
TGFB,CL_0002259,neuroepithelial stem cell
CCL20,CL_0000775,neutrophil
CCL23,CL_0000771,eosinophil
CCL2,CL_0000100,motor neuron
IL6,CL_0002563,intestinal epithelial cell
CSF1,CL_0002139,endothelial cell of vascular tree
CD40LG,CL_0000127,astrocyte
IL21,CL_0000145,professional antigen presenting cell
CD40LG,CL_0002619,adult endothelial progenitor cell
FGF2,CL_0000625,"CD8-positive, alpha-beta T cell"
FGF1,CL_1000300,fibroblast of outer membrane of prostatic capsule
CCL2,CL_1001319,bladder cell
FGF2,CL_0000060,odontoblast
IL7,CL_0000809,"double-positive, alpha-beta thymocyte"
EGF,CL_0000476,thyrotroph
CKLF,CL_0000115,endothelial cell
IFN1,CL_0002064,pancreatic acinar cell
PF4,CL_0000037,hematopoietic stem cell
IL31,CL_0000362,epidermal cell
KITLG,CL_0002322,embryonic stem cell
IFN1,CL_0000530,primary neuron
FGF2,CL_0002248,pluripotent stem cell
IL17,CL_0000871,splenic macrophage
CCL26,CL_0000545,T-helper 1 cell
LIF,CL_0000100,motor neuron
IL7,CL_0002053,"CD22-positive, CD38-low small pre-B cell"
IL4,CL_0000583,alveolar macrophage
IL1A,CL_0000127,astrocyte
CCL7,CL_0000860,classical monocyte
TGFB1,CL_0002148,dental pulp cell
IL18,CL_0000232,erythrocyte
TNFSF13,CL_0000084,T cell
IL1B,CL_0000135,fibrocyte
IL1,CL_1001319,bladder cell
CD40LG,CL_0000835,myeloblast
EBI3,CL_0000624,"CD4-positive, alpha-beta T cell"
IL17,CL_0002128,Tc17 cell
EPO,CL_0000236,B cell
IL6,CL_0002319,neural cell
CCL26,CL_0000066,epithelial cell
CXCL10,CL_0000451,dendritic cell
TGFA,CL_0000135,fibrocyte
IL15,CL_0000037,hematopoietic stem cell
CCL3,CL_0000623,natural killer cell
IL1F10,CL_0000235,macrophage
CXCL8,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
LIF,CL_0000121,Purkinje cell
CXCL16,CL_0000863,inflammatory macrophage
TGFB,CL_0002334,preadipocyte
FGF2,CL_0000261,anterior cell
IL24,CL_0000546,T-helper 2 cell
CCL22,CL_0000235,macrophage
IL1A,CL_0000700,dopaminergic neuron
IL32,CL_0000738,leukocyte
FGF2,CL_0000137,osteocyte
IL12B,CL_0000813,memory T cell
IL3,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CXCL12,CL_0000784,plasmacytoid dendritic cell
PF4,CL_0000129,microglial cell
IFNG,CL_1001567,lung endothelial cell
TGFB,CL_1000491,mesothelial cell of pleura
TGFB,CL_0002619,adult endothelial progenitor cell
IL16,CL_0000625,"CD8-positive, alpha-beta T cell"
IL15,CL_0000115,endothelial cell
CCL26,CL_0000909,"CD8-positive, alpha-beta memory T cell"
IL6,CL_0000137,osteocyte
CD70,CL_0000057,fibroblast
CCL5,CL_0000127,astrocyte
CX3CL1,CL_0000127,astrocyte
IL4,CL_0000646,basal cell
CSF2,CL_0002477,adipose macrophage
IL12,CL_0000023,oocyte
CCL3,CL_0000097,mast cell
CCL2,CL_0000134,mesenchymal cell
GDF15,CL_0000101,sensory neuron
CCL2,CL_0002629,mature microglial cell
IFNG,CL_0000890,alternatively activated macrophage
IL33,CL_0002089,nuocyte
RETN,CL_0000019,sperm
IL27,CL_0000909,"CD8-positive, alpha-beta memory T cell"
IL22,CL_0000092,osteoclast
LTA,CL_0000786,plasma cell
IL13,CL_0000067,ciliated epithelial cell
FGF1,CL_0000037,hematopoietic stem cell
IL10,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
CCL9,CL_0000775,neutrophil
IL17,CL_0000038,erythroid progenitor cell
TNFSF13B,CL_0000899,T-helper 17 cell
CCL22,CL_0000546,T-helper 2 cell
IL32,CL_0000138,chondrocyte
TGFB2,CL_0000145,professional antigen presenting cell
CXCL10,CL_0000650,mesangial cell
IFNK,CL_0000312,keratinocyte
TNFSF9,CL_0000738,leukocyte
TNF,CL_0000682,M cell
IL12,CL_0000499,stromal cell
TGFB1,CL_0002621,gingival epithelial cell
TGFB1,CL_0002063,type II pneumocyte
TNFSF15,CL_0000236,B cell
TGF,CL_0000499,stromal cell
IFN1,CL_0002368,respiratory epithelial cell
PDGFB,CL_1000742,glomerular mesangial cell
IL17,CL_0000492,CD4-positive helper T cell
FGF1,CL_0000746,cardiac muscle cell
HGF,CL_0000540,neuron
IFN1,CL_0000775,neutrophil
CCL6,CL_0000023,oocyte
EPO,CL_0000148,melanocyte
CCL21,CL_0000624,"CD4-positive, alpha-beta T cell"
EPO,CL_0000047,neuronal stem cell
CSF3,CL_0000514,smooth muscle myoblast
IL12B,CL_0000775,neutrophil
IL12B,CL_0000235,macrophage
IL7,CL_0002364,cortical thymic epithelial cell
CCL26,CL_0000236,B cell
IL18,CL_0000622,acinar cell
TNF,CL_0000934,"CD4-positive, alpha-beta cytotoxic T cell"
TNFSF4,CL_0000771,eosinophil
IL25,CL_0000066,epithelial cell
PPBP,CL_0000763,myeloid cell
IL16,CL_0000545,T-helper 1 cell
IL20,CL_0000546,T-helper 2 cell
KITLG,CL_0000047,neuronal stem cell
CCL14,CL_0000771,eosinophil
RETN,CL_0000232,erythrocyte
TGFB,CL_0000163,endocrine cell
IFN1,CL_0000763,myeloid cell
CXCL10,CL_0000910,cytotoxic T cell
IL13,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
IL2,CL_0000598,pyramidal cell
IL12,CL_0000863,inflammatory macrophage
IL10,CL_0000785,mature B cell
IL27,CL_0000037,hematopoietic stem cell
TGFB,CL_0000910,cytotoxic T cell
IL2,CL_0000613,basophil progenitor cell
CCL13,CL_0000540,neuron
IL11,CL_0000138,chondrocyte
TNFSF11,CL_0000137,osteocyte
CX3CL1,CL_0002139,endothelial cell of vascular tree
TGFB1,CL_0000545,T-helper 1 cell
EBI3,CL_0000235,macrophage
IL1A,CL_0002334,preadipocyte
CSF3,CL_0002195,hepatic stem cell
IL17C,CL_0000899,T-helper 17 cell
IL22,CL_0000160,goblet cell
IL27,CL_0000746,cardiac muscle cell
IL1RN,CL_0000545,T-helper 1 cell
PDGF,CL_0000771,eosinophil
IL27,CL_0000912,helper T cell
IL1RN,CL_0000682,M cell
CCL21,CL_0000911,effector T cell
CCL2,CL_0002368,respiratory epithelial cell
IL1A,CL_0002483,hair follicle melanocyte
CCL4,CL_0000545,T-helper 1 cell
CXCL13,CL_0000912,helper T cell
TNF,CL_0000319,mucus secreting cell
IL21,CL_0000775,neutrophil
TNF,CL_0000510,paneth cell
IL9,CL_0000917,Tc1 cell
IL34,CL_0000763,myeloid cell
IL12,CL_0000767,basophil
IL1B,CL_0000910,cytotoxic T cell
FGF2,CL_0002453,oligodendrocyte precursor cell
CCL6,CL_0000169,type B pancreatic cell
CCL27,CL_0000738,leukocyte
IL12,CL_0000788,naive B cell
IL6,CL_1001319,bladder cell
TDGF1P3,CL_0000746,cardiac muscle cell
IL1B,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CXCL12,CL_0000128,oligodendrocyte
IFNA1,CL_0000624,"CD4-positive, alpha-beta T cell"
IL4,CL_0000492,CD4-positive helper T cell
IL23,CL_0000451,dendritic cell
IL34,CL_0000129,microglial cell
FGF1,CL_0000561,amacrine cell
TNFSF13B,CL_0000788,naive B cell
MIF,CL_0002319,neural cell
CCL3,CL_0000049,common myeloid progenitor
CCL23,CL_0000092,osteoclast
HGF,CL_0000514,smooth muscle myoblast
CSF1,CL_0000501,granulosa cell
CCL23,CL_0000062,osteoblast
TGFB,CL_0002350,endocardial cell
CCL20,CL_0000236,B cell
IL5,CL_0000611,eosinophil progenitor cell
TGFB1,CL_0002150,epithelioid macrophage
TGFB1,CL_0002334,preadipocyte
IL10,CL_0000746,cardiac muscle cell
CCL18,CL_0000771,eosinophil
IL10,CL_0000125,glial cell
FGF2,CL_0000081,blood cell
IL6,CL_0001042,T-helper 22 cell
KITLG,CL_0000312,keratinocyte
CXCL13,CL_0000235,macrophage
PPBP,CL_0000129,microglial cell
IL19,CL_0000312,keratinocyte
IFN1,CL_0000990,conventional dendritic cell
IL7,CL_0000815,regulatory T cell
IL17,CL_0002061,T-helper 9 cell
IFNA1,CL_0000738,leukocyte
IL23,CL_0000813,memory T cell
CXCL12,CL_0000653,glomerular visceral epithelial cell
HGF,CL_0000187,muscle cell
IL18,CL_0000023,oocyte
CCL25,CL_0000134,mesenchymal cell
TGF,CL_0000136,fat cell
IFNB1,CL_0002629,mature microglial cell
CCL3,CL_0000129,microglial cell
CCL20,CL_0000540,neuron
EPO,CL_0000100,motor neuron
TGFB,CL_0002563,intestinal epithelial cell
IL15,CL_0000129,microglial cell
TNFSF15,CL_0000911,effector T cell
THPO,CL_0000786,plasma cell
IL16,CL_0000127,astrocyte
IFNB1,CL_0000903,natural T-regulatory cell
CXCL6,CL_0000595,enucleate erythrocyte
CCL4,CL_0000135,fibrocyte
IL20,CL_0000312,keratinocyte
SPP1,CL_0000061,cementoblast
IL27,CL_0000898,naive T cell
CCL3,CL_0000540,neuron
IFNB1,CL_0000056,myoblast
IL3,CL_0000134,mesenchymal cell
TNF,CL_0002399,CD1c-positive myeloid dendritic cell
IFN1,CL_0000510,paneth cell
HGF,CL_0000650,mesangial cell
CXCL16,CL_0000236,B cell
TGFB,CL_0002148,dental pulp cell
IL15,CL_0000499,stromal cell
TGFA,CL_0000023,oocyte
HGF,CL_1001611,cerebellar neuron
HGF,CL_0000092,osteoclast
CCL26,CL_0000322,pneumocyte
