cytokine,cell
PF4,CL_0000097
IFNG,CL_0000187
TGFB,CL_0000793
CCL3,CL_0000134
PDGF,CL_0002539
TGFB1,CL_1000300
IL10,CL_0000890
CXCL10,CL_0000624
IL10,CL_0000097
CCL2,CL_0000499
FGF2,CL_0002543
FGF2,CL_0000136
PDGFB,CL_0000057
TGFB1,CL_0000351
MIF,CL_0000775
IL1RN,CL_0000899
CSF2,CL_0000097
IL11,CL_0000236
IL4,CL_0000160
PDGF,CL_0000235
IL17,CL_0000792
PDGFB,CL_0000499
IL1B,CL_0000097
IL1B,CL_0000556
PDGF,CL_0000540
IL17,CL_0000451
CCL2,CL_0002231
CXCL8,CL_0000057
TGFB2,CL_0000312
IL27,CL_0000182
IL4,CL_0002092
IL17A,CL_0000623
IL10,CL_0000540
IL27,CL_0000624
TGFB1,CL_0002097
IL9,CL_0000738
CCL2,CL_0000136
CCL2,CL_0000863
FGF2,CL_0002418
HGF,CL_0000169
CCL3,CL_0000624
TGFB,CL_0000775
CXCL10,CL_0000182
CSF2,CL_0000145
IL6,CL_0000034
IL2,CL_0002608
IL36G,CL_0000312
IL12,CL_0000824
CXCL8,CL_0000763
IL6,CL_0000819
IL23,CL_0000792
IFNG,CL_0000128
IL4,CL_0000115
TGFB,CL_0000322
IFNB1,CL_0000863
IL12,CL_0000771
EPO,CL_0000034
IL1,CL_0000623
RETN,CL_0000233
IFNG,CL_0000138
CSF1,CL_0000094
IL15,CL_0000813
CSF2,CL_0000623
FGF2,CL_0002144
CXCL12,CL_0000312
IL15,CL_0000066
IL6,CL_0000136
IL5,CL_0000767
TNF,CL_0000700
CSF2,CL_0000556
FGF2,CL_0000182
CXCL8,CL_0000082
IL7,CL_0000545
CSF3,CL_0000096
IL34,CL_0000576
IL10,CL_0000763
IL6,CL_0002548
LIF,CL_0000128
IL3,CL_0000236
IL1B,CL_0002322
IFNG,CL_0000034
CX3CL1,CL_0000624
IL2,CL_0000902
IL1B,CL_0000763
TGFB,CL_0000128
TGFB,CL_0000351
