,cytokine,cell,Cell ontology Label
2452,CXCL1,CL_0000235,macrophage
2453,IL24,CL_0000359,vascular associated smooth muscle cell
2454,TGFB,CL_0000824,mature natural killer cell
2455,EGF,CL_0000136,fat cell
2456,CCL2,CL_0000187,muscle cell
2457,TGF,CL_0000084,T cell
2458,CD40LG,CL_0000845,marginal zone B cell
2459,CCL18,CL_0000817,precursor B cell
2460,IL5,CL_0000499,stromal cell
2461,CSF2,CL_0000057,fibroblast
2462,IL18,CL_0000182,hepatocyte
2463,IFNA,CL_0000351,trophoblast cell
2464,FGF1,CL_0002334,preadipocyte
2465,IL7,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
2466,TNFSF8,CL_0000624,"CD4-positive, alpha-beta T cell"
2467,IFNL3,CL_0000235,macrophage
2468,IL9,CL_0000066,epithelial cell
2469,CCL2,CL_0000113,mononuclear phagocyte
2470,IL10,CL_0000782,myeloid dendritic cell
2471,EPO,CL_0000549,basophilic erythroblast
2472,IL22,CL_0000169,type B pancreatic cell
2473,LECT2,CL_0000235,macrophage
2474,FGF2,CL_0000218,myelinating Schwann cell
2475,TGFB,CL_0002489,double negative thymocyte
2476,CXCL9,CL_0000066,epithelial cell
2477,IL7,CL_0000499,stromal cell
2478,HGF,CL_0000062,osteoblast
2479,IL10,CL_0000062,osteoblast
2480,EPO,CL_0000094,granulocyte
2481,TNF,CL_0000545,T-helper 1 cell
2482,TNFSF9,CL_0000813,memory T cell
2483,IL11,CL_0000546,T-helper 2 cell
2484,IL17,CL_0002372,myotube
2485,IL1RN,CL_0002609,neuron of cerebral cortex
2486,IL17,CL_0000362,epidermal cell
2487,TGFB1,CL_1000488,cholangiocyte
2488,IL12,CL_0002343,decidual natural killer cell
2489,PDGFA,CL_0000061,cementoblast
2490,IL12,CL_0000097,mast cell
2491,IL17,CL_0000056,myoblast
2492,IL17A,CL_0000062,osteoblast
2493,TGFB2,CL_0000082,epithelial cell of lung
2494,EPO,CL_0000096,mature neutrophil
2495,IFNG,CL_0000136,fat cell
2496,IL9,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2497,IL1RN,CL_0000187,muscle cell
2498,IL13,CL_0000232,erythrocyte
2499,TGFB,CL_0000814,mature NK T cell
2500,LIF,CL_0000746,cardiac muscle cell
2501,IL25,CL_0000624,"CD4-positive, alpha-beta T cell"
2502,TNF,CL_0000575,corneal epithelial cell
2503,IL4,CL_0000588,odontoclast
2504,CCL5,CL_0000911,effector T cell
2505,LIF,CL_0000210,photoreceptor cell
2506,PF4,CL_0000540,neuron
2507,CXCL11,CL_0000115,endothelial cell
2508,IL6,CL_0000094,granulocyte
2509,TNFSF15,CL_0000902,induced T-regulatory cell
2510,HGF,CL_0000365,zygote
2511,IL17A,CL_0000096,mature neutrophil
2512,IL27,CL_0000129,microglial cell
2513,CXCL1,CL_0000034,stem cell
2514,TGFB2,CL_0000625,"CD8-positive, alpha-beta T cell"
2515,IL1RN,CL_0000860,classical monocyte
2516,IL10,CL_0000091,Kupffer cell
2517,MIF,CL_0000546,T-helper 2 cell
2518,IL31,CL_0000312,keratinocyte
2519,IL6,CL_0000890,alternatively activated macrophage
2520,IL35,CL_0000115,endothelial cell
2521,IL27,CL_0000322,pneumocyte
2522,CXCL2,CL_0000115,endothelial cell
2523,IL1RN,CL_0000669,pericyte cell
2524,IL1B,CL_0000388,tendon cell
2525,CXCL1,CL_0002627,mature astrocyte
2526,IL21,CL_0000499,stromal cell
2527,TGFB,CL_0002138,endothelial cell of lymphatic vessel
2528,IL21,CL_0000824,mature natural killer cell
2529,CXCL10,CL_0000540,neuron
2530,FGF2,CL_0000632,hepatic stellate cell
2531,TGFB2,CL_0000740,retinal ganglion cell
2532,IL12,CL_0000169,type B pancreatic cell
2533,IL22,CL_0000213,lining cell
2534,CCL3,CL_0000038,erythroid progenitor cell
2535,EPO,CL_0000182,hepatocyte
2536,CCL26,CL_0000127,astrocyte
2537,TGFB1,CL_0000542,lymphocyte
2538,CXCL8,CL_0000232,erythrocyte
2539,TNF,CL_0000586,germ cell
2540,IL34,CL_0000863,inflammatory macrophage
2541,IL1A,CL_0000817,precursor B cell
2542,TGFB,CL_0000098,sensory epithelial cell
2543,IL7,CL_0000235,macrophage
2544,IL7,CL_0000899,T-helper 17 cell
2545,IL17F,CL_0000145,professional antigen presenting cell
2546,TNF,CL_0000617,GABAergic neuron
2547,IL7,CL_0000813,memory T cell
2548,TGFB1,CL_0000911,effector T cell
2549,CSF3,CL_0002372,myotube
2550,IFNG,CL_0002343,decidual natural killer cell
2551,HGF,CL_0000100,motor neuron
2552,IFNA6,CL_0000625,"CD8-positive, alpha-beta T cell"
2553,IL1RN,CL_0000916,dendritic epidermal T cell
2554,TGFB2,CL_0000062,osteoblast
2555,TGFB,CL_0000362,epidermal cell
2556,CXCL3,CL_0000084,T cell
2557,IFNG,CL_0002088,interstitial cell of Cajal
2558,TGFB1,CL_0002629,mature microglial cell
2559,CCL5,CL_0000540,neuron
2560,CCL26,CL_0000625,"CD8-positive, alpha-beta T cell"
2561,IL10,CL_0000136,fat cell
2562,TNFSF13B,CL_0000084,T cell
2563,TNFSF9,CL_0000236,B cell
2564,IL10,CL_0000911,effector T cell
2565,IL12A,CL_0000084,T cell
2566,IL27,CL_0002128,Tc17 cell
2567,IL17A,CL_0009004,retinal cell
2568,CCL13,CL_0000771,eosinophil
2569,IFNA,CL_0000125,glial cell
2570,IL18,CL_0000540,neuron
2571,CXCL11,CL_0000451,dendritic cell
2572,TGFB,CL_0000135,fibrocyte
2573,HGF,CL_0000359,vascular associated smooth muscle cell
2574,IL33,CL_0000819,B-1 B cell
2575,IFNB1,CL_0000129,microglial cell
2576,IL17,CL_0000911,effector T cell
2577,TGFB,CL_0000622,acinar cell
2578,IL34,CL_0000136,fat cell
2579,IL4,CL_0000889,myeloid suppressor cell
2580,TGFB3,CL_0000135,fibrocyte
2581,CXCL9,CL_0000545,T-helper 1 cell
2582,CSF3,CL_0000187,muscle cell
2583,CSF1,CL_0000232,erythrocyte
2584,IL6,CL_0000192,smooth muscle cell
2585,CXCL11,CL_0000084,T cell
2586,CXCL12,CL_0002436,mature CD4 single-positive thymocyte
2587,IL10,CL_0000898,naive T cell
2588,IFNL3,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2589,TNFSF14,CL_0000775,neutrophil
2590,CXCL16,CL_0000066,epithelial cell
2591,KITLG,CL_0000501,granulosa cell
2592,IL3,CL_0000540,neuron
2593,CD40LG,CL_0000909,"CD8-positive, alpha-beta memory T cell"
2594,IL10,CL_0000442,follicular dendritic cell
2595,TGFB2,CL_0000542,lymphocyte
2596,TGFB,CL_0000863,inflammatory macrophage
2597,IFNG,CL_1000488,cholangiocyte
2598,CCL6,CL_0000235,macrophage
2599,IL12,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2600,IL35,CL_0000233,platelet
2601,IL1B,CL_0000362,epidermal cell
2602,IL33,CL_0000057,fibroblast
2603,GDF15,CL_0000233,platelet
2604,IFNG,CL_0000096,mature neutrophil
2605,IL1RN,CL_0000129,microglial cell
2606,GDF15,CL_0000775,neutrophil
2607,CCL1,CL_0000235,macrophage
2608,IL33,CL_0000187,muscle cell
2609,CCL25,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2610,TGFB,CL_0000160,goblet cell
2611,IL23,CL_0000312,keratinocyte
2612,CXCL1,CL_0000128,oligodendrocyte
2613,CCL2,CL_0000540,neuron
2614,TGFB,CL_0000023,oocyte
2615,IL12,CL_0000581,peritoneal macrophage
2616,CXCL13,CL_0000084,T cell
2617,IL10,CL_0000819,B-1 B cell
2618,CCL26,CL_0000235,macrophage
2619,CCL2,CL_0000650,mesangial cell
2620,IL7,CL_0000738,leukocyte
2621,CCL4,CL_0000738,leukocyte
2622,CCL26,CL_0000084,T cell
2623,CXCL8,CL_0000540,neuron
2624,IFN1,CL_0000576,monocyte
2625,CCL19,CL_0000235,macrophage
2626,IL2,CL_0000814,mature NK T cell
2627,TGF,CL_0000182,hepatocyte
2628,TGFB,CL_0000836,promyelocyte
2629,IL21,CL_0000738,leukocyte
2630,CXCL6,CL_0000738,leukocyte
2631,CXCL12,CL_0000129,microglial cell
2632,SPP1,CL_0000236,B cell
2633,LTA,CL_0000442,follicular dendritic cell
2634,IL2,CL_0000813,memory T cell
2635,IL17,CL_0000542,lymphocyte
2636,IL10,CL_0000232,erythrocyte
2637,IL1,CL_0000556,megakaryocyte
2638,IL1B,CL_0000094,granulocyte
2639,PDGF,CL_0000178,Leydig cell
2640,CCL4,CL_0000233,platelet
2641,TGFB,CL_0000216,Sertoli cell
2642,IL4,CL_0000037,hematopoietic stem cell
2643,IL1,CL_0000129,microglial cell
2644,IL31,CL_0000546,T-helper 2 cell
2645,TGF,CL_0000312,keratinocyte
2646,TGFB,CL_0000646,basal cell
2647,PDGF,CL_0000128,oligodendrocyte
2648,PDGFA,CL_0000192,smooth muscle cell
2649,CXCL16,CL_0002539,aortic smooth muscle cell
2650,CCL1,CL_0000084,T cell
2651,FGF2,CL_0000100,motor neuron
2652,IL22,CL_0000545,T-helper 1 cell
2653,PPBP,CL_0000235,macrophage
2654,IL25,CL_0000115,endothelial cell
2655,IL6,CL_0002327,mammary epithelial cell
2656,CSF3,CL_0000023,oocyte
2657,IL11,CL_0000066,epithelial cell
2658,IL17A,CL_0002368,respiratory epithelial cell
2659,TGFB,CL_0000047,neuronal stem cell
2660,IL17A,CL_0000160,goblet cell
2661,IFNA,CL_0000312,keratinocyte
2662,FGF2,CL_0000048,multi fate stem cell
2663,CXCL13,CL_0000819,B-1 B cell
2664,TGFB,CL_0000122,stellate cell
2665,TGFB1,CL_0000059,ameloblast
2666,IL4,CL_0000647,multinucleated giant cell
2667,CXCL13,CL_0000542,lymphocyte
2668,CCL1,CL_0000542,lymphocyte
2669,IL6,CL_0000771,eosinophil
2670,TGFB1,CL_0000646,basal cell
2671,CCL11,CL_0000084,T cell
2672,IL3,CL_0000623,natural killer cell
2673,CXCL12,CL_0000047,neuronal stem cell
2674,CD40LG,CL_0000771,eosinophil
2675,IL17A,CL_0000624,"CD4-positive, alpha-beta T cell"
2676,FGF2,CL_0002619,adult endothelial progenitor cell
2677,KITLG,CL_0002092,bone marrow cell
2678,IL1RN,CL_0000624,"CD4-positive, alpha-beta T cell"
2679,CSF3,CL_0000236,B cell
2680,OSM,CL_0000235,macrophage
2681,TGFB,CL_0000132,corneal endothelial cell
2682,IL6,CL_0000100,motor neuron
2683,TNFSF9,CL_0000145,professional antigen presenting cell
2684,IL33,CL_0000583,alveolar macrophage
2685,IL6,CL_0000653,glomerular visceral epithelial cell
2686,IL32,CL_0000115,endothelial cell
2687,TGF,CL_0000210,photoreceptor cell
2688,IL27,CL_0000062,osteoblast
2689,IL1B,CL_0002319,neural cell
2690,IL32,CL_0000232,erythrocyte
2691,TNF,CL_0000782,myeloid dendritic cell
2692,IL16,CL_0000540,neuron
2693,CCL2,CL_0000145,professional antigen presenting cell
2694,IL7,CL_0002404,fetal thymocyte
2695,IL25,CL_0000545,T-helper 1 cell
2696,CXCL10,CL_0000359,vascular associated smooth muscle cell
2697,IL10,CL_0000092,osteoclast
2698,CX3CL1,CL_0000771,eosinophil
2699,CCL26,CL_0000653,glomerular visceral epithelial cell
2700,RETN,CL_0000056,myoblast
2701,IL5,CL_0000669,pericyte cell
2702,CX3CL1,CL_0000863,inflammatory macrophage
2703,THPO,CL_0000837,hematopoietic multipotent progenitor cell
2704,IL23,CL_0000546,T-helper 2 cell
2705,CSF1,CL_0000384,ligament cell
2706,CCL26,CL_0000898,naive T cell
2707,CCL5,CL_0000092,osteoclast
2708,IL15,CL_0000057,fibroblast
2709,TNF,CL_1001607,articular chondrocyte
2710,TGFB2,CL_0002608,hippocampal neuron
2711,TGFA,CL_0000647,multinucleated giant cell
2712,IL24,CL_0000236,B cell
2713,TGFB,CL_0000065,ependymal cell
2714,CCL22,CL_0000893,thymocyte
2715,IL16,CL_0000738,leukocyte
2716,FGF2,CL_0002311,mammotroph
2717,IL10,CL_0000814,mature NK T cell
2718,MIF,CL_0000129,microglial cell
2719,IL27,CL_0000785,mature B cell
2720,IL10,CL_0000148,melanocyte
2721,TNFSF13B,CL_0000775,neutrophil
2722,CXCL16,CL_0000019,sperm
2723,IL17F,CL_0000775,neutrophil
2724,FGF2,CL_0000351,trophoblast cell
2725,IL6,CL_0000911,effector T cell
2726,FGF2,CL_0000855,sensory hair cell
2727,TGFB1,CL_0000613,basophil progenitor cell
2728,IL33,CL_0000148,melanocyte
2729,CXCL14,CL_0000218,myelinating Schwann cell
2730,TNFSF9,CL_0000775,neutrophil
2731,IL17F,CL_0000115,endothelial cell
2732,CXCL8,CL_0000056,myoblast
2733,IL17,CL_0000138,chondrocyte
2734,IL12,CL_0000862,suppressor macrophage
2735,CCL18,CL_0000738,leukocyte
2736,IL20,CL_0000092,osteoclast
2737,HGF,CL_0000576,monocyte
2738,IL15,CL_0002372,myotube
2739,IL11,CL_0002092,bone marrow cell
2740,CXCL12,CL_1000413,endothelial cell of artery
2741,IL1,CL_0000784,plasmacytoid dendritic cell
2742,IL11,CL_0000097,mast cell
2743,IL1B,CL_0000100,motor neuron
2744,TNF,CL_0000899,T-helper 17 cell
2745,LECT2,CL_0000540,neuron
2746,IL12B,CL_0000451,dendritic cell
2747,CXCL5,CL_0000057,fibroblast
2748,IL24,CL_0000763,myeloid cell
2749,IL33,CL_0000912,helper T cell
2750,IL10,CL_0000893,thymocyte
2751,IL7,CL_0000023,oocyte
2752,CSF2,CL_0000040,monoblast
2753,TGFB2,CL_0000575,corneal epithelial cell
2754,IL6,CL_0002248,pluripotent stem cell
2755,PDGFB,CL_0000540,neuron
2756,GDF15,CL_0000558,reticulocyte
2757,IFNG,CL_0002198,oncocyte
2758,CCL18,CL_0000235,macrophage
2759,CXCL8,CL_0002619,adult endothelial progenitor cell
2760,IL7,CL_0000808,DN4 thymocyte
2761,TNF,CL_0000898,naive T cell
2762,CCL26,CL_0000647,multinucleated giant cell
2763,MIF,CL_0000623,natural killer cell
2764,CSF3,CL_0000584,enterocyte
2765,PDGF,CL_0002334,preadipocyte
2766,IL7,CL_0000059,ameloblast
2767,PF4,CL_0000232,erythrocyte
2768,CSF1,CL_0000062,osteoblast
2769,IL27,CL_0000771,eosinophil
2770,GDF15,CL_0000353,blastoderm cell
2771,GDF15,CL_0000374,trichogen cell
2772,CXCL14,CL_0000136,fat cell
2773,CCL26,CL_0000034,stem cell
2774,IL22,CL_0000236,B cell
2775,IFNG,CL_0000586,germ cell
2776,IL6,CL_0002363,keratocyte
2777,CXCL10,CL_0000814,mature NK T cell
2778,PDGF,CL_0000740,retinal ganglion cell
2779,OSM,CL_0002320,connective tissue cell
2780,TGFB,CL_0000700,dopaminergic neuron
2781,CCL19,CL_0000771,eosinophil
2782,SPP1,CL_0000233,platelet
2783,IL22,CL_0000113,mononuclear phagocyte
2784,IL6,CL_0000091,Kupffer cell
2785,TGFB,CL_0002140,acinar cell of sebaceous gland
2786,IL18,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
2787,TGFB2,CL_0000586,germ cell
2788,CCL1,CL_0000097,mast cell
2789,IL22,CL_0002586,retinal pigment epithelial cell
2790,TGFB1,CL_0000767,basophil
2791,IFNG,CL_0000811,"CD8-positive, alpha-beta thymocyte"
2792,CCL3,CL_0000218,myelinating Schwann cell
2793,TGFB,CL_0002259,neuroepithelial stem cell
2794,CCL20,CL_0000775,neutrophil
2795,CCL23,CL_0000771,eosinophil
2796,CCL2,CL_0000100,motor neuron
2797,IL6,CL_0002563,intestinal epithelial cell
2798,CSF1,CL_0002139,endothelial cell of vascular tree
2799,CD40LG,CL_0000127,astrocyte
2800,IL21,CL_0000145,professional antigen presenting cell
2801,CD40LG,CL_0002619,adult endothelial progenitor cell
2802,FGF2,CL_0000625,"CD8-positive, alpha-beta T cell"
2803,FGF1,CL_1000300,fibroblast of outer membrane of prostatic capsule
2804,CCL2,CL_1001319,bladder cell
2805,FGF2,CL_0000060,odontoblast
2806,IL7,CL_0000809,"double-positive, alpha-beta thymocyte"
2807,EGF,CL_0000476,thyrotroph
2808,CKLF,CL_0000115,endothelial cell
2809,IFN1,CL_0002064,pancreatic acinar cell
2810,PF4,CL_0000037,hematopoietic stem cell
2811,IL31,CL_0000362,epidermal cell
2812,KITLG,CL_0002322,embryonic stem cell
2813,IFN1,CL_0000530,primary neuron
2814,FGF2,CL_0002248,pluripotent stem cell
2815,IL17,CL_0000871,splenic macrophage
2816,CCL26,CL_0000545,T-helper 1 cell
2817,LIF,CL_0000100,motor neuron
2818,IL7,CL_0002053,"CD22-positive, CD38-low small pre-B cell"
2819,IL4,CL_0000583,alveolar macrophage
2820,IL1A,CL_0000127,astrocyte
2821,CCL7,CL_0000860,classical monocyte
2822,TGFB1,CL_0002148,dental pulp cell
2823,IL18,CL_0000232,erythrocyte
2824,TNFSF13,CL_0000084,T cell
2825,IL1B,CL_0000135,fibrocyte
2826,IL1,CL_1001319,bladder cell
2827,CD40LG,CL_0000835,myeloblast
2828,EBI3,CL_0000624,"CD4-positive, alpha-beta T cell"
2829,IL17,CL_0002128,Tc17 cell
2830,EPO,CL_0000236,B cell
2831,IL6,CL_0002319,neural cell
2832,CCL26,CL_0000066,epithelial cell
2833,CXCL10,CL_0000451,dendritic cell
2834,TGFA,CL_0000135,fibrocyte
2835,IL15,CL_0000037,hematopoietic stem cell
2836,CCL3,CL_0000623,natural killer cell
2837,IL1F10,CL_0000235,macrophage
2838,CXCL8,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
2839,LIF,CL_0000121,Purkinje cell
2840,CXCL16,CL_0000863,inflammatory macrophage
2841,TGFB,CL_0002334,preadipocyte
2842,FGF2,CL_0000261,anterior cell
2843,IL24,CL_0000546,T-helper 2 cell
2844,CCL22,CL_0000235,macrophage
2845,IL1A,CL_0000700,dopaminergic neuron
2846,IL32,CL_0000738,leukocyte
2847,FGF2,CL_0000137,osteocyte
2848,IL12B,CL_0000813,memory T cell
2849,IL3,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2850,CXCL12,CL_0000784,plasmacytoid dendritic cell
2851,PF4,CL_0000129,microglial cell
2852,IFNG,CL_1001567,lung endothelial cell
2853,TGFB,CL_1000491,mesothelial cell of pleura
2854,TGFB,CL_0002619,adult endothelial progenitor cell
2855,IL16,CL_0000625,"CD8-positive, alpha-beta T cell"
2856,IL15,CL_0000115,endothelial cell
2857,CCL26,CL_0000909,"CD8-positive, alpha-beta memory T cell"
2858,IL6,CL_0000137,osteocyte
2859,CD70,CL_0000057,fibroblast
2860,CCL5,CL_0000127,astrocyte
2861,CX3CL1,CL_0000127,astrocyte
2862,IL4,CL_0000646,basal cell
2863,CSF2,CL_0002477,adipose macrophage
2864,IL12,CL_0000023,oocyte
2865,CCL3,CL_0000097,mast cell
2866,CCL2,CL_0000134,mesenchymal cell
2867,GDF15,CL_0000101,sensory neuron
2868,CCL2,CL_0002629,mature microglial cell
2869,IFNG,CL_0000890,alternatively activated macrophage
2870,IL33,CL_0002089,nuocyte
2871,RETN,CL_0000019,sperm
2872,IL27,CL_0000909,"CD8-positive, alpha-beta memory T cell"
2873,IL22,CL_0000092,osteoclast
2874,LTA,CL_0000786,plasma cell
2875,IL13,CL_0000067,ciliated epithelial cell
2876,FGF1,CL_0000037,hematopoietic stem cell
2877,IL10,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2878,CCL9,CL_0000775,neutrophil
2879,IL17,CL_0000038,erythroid progenitor cell
2880,TNFSF13B,CL_0000899,T-helper 17 cell
2881,CCL22,CL_0000546,T-helper 2 cell
2882,IL32,CL_0000138,chondrocyte
2883,TGFB2,CL_0000145,professional antigen presenting cell
2884,CXCL10,CL_0000650,mesangial cell
2885,IFNK,CL_0000312,keratinocyte
2886,TNFSF9,CL_0000738,leukocyte
2887,TNF,CL_0000682,M cell
2888,IL12,CL_0000499,stromal cell
2889,TGFB1,CL_0002621,gingival epithelial cell
2890,TGFB1,CL_0002063,type II pneumocyte
2891,TNFSF15,CL_0000236,B cell
2892,TGF,CL_0000499,stromal cell
2893,IFN1,CL_0002368,respiratory epithelial cell
2894,PDGFB,CL_1000742,glomerular mesangial cell
2895,IL17,CL_0000492,CD4-positive helper T cell
2896,FGF1,CL_0000746,cardiac muscle cell
2897,HGF,CL_0000540,neuron
2898,IFN1,CL_0000775,neutrophil
2899,CCL6,CL_0000023,oocyte
2900,EPO,CL_0000148,melanocyte
2901,CCL21,CL_0000624,"CD4-positive, alpha-beta T cell"
2902,EPO,CL_0000047,neuronal stem cell
2903,CSF3,CL_0000514,smooth muscle myoblast
2904,IL12B,CL_0000775,neutrophil
2905,IL12B,CL_0000235,macrophage
2906,IL7,CL_0002364,cortical thymic epithelial cell
2907,CCL26,CL_0000236,B cell
2908,IL18,CL_0000622,acinar cell
2909,TNF,CL_0000934,"CD4-positive, alpha-beta cytotoxic T cell"
2910,TNFSF4,CL_0000771,eosinophil
2911,IL25,CL_0000066,epithelial cell
2912,PPBP,CL_0000763,myeloid cell
2913,IL16,CL_0000545,T-helper 1 cell
2914,IL20,CL_0000546,T-helper 2 cell
2915,KITLG,CL_0000047,neuronal stem cell
2916,CCL14,CL_0000771,eosinophil
2917,RETN,CL_0000232,erythrocyte
2918,TGFB,CL_0000163,endocrine cell
2919,IFN1,CL_0000763,myeloid cell
2920,CXCL10,CL_0000910,cytotoxic T cell
2921,IL13,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
2922,IL2,CL_0000598,pyramidal cell
2923,IL12,CL_0000863,inflammatory macrophage
2924,IL10,CL_0000785,mature B cell
2925,IL27,CL_0000037,hematopoietic stem cell
2926,TGFB,CL_0000910,cytotoxic T cell
2927,IL2,CL_0000613,basophil progenitor cell
2928,CCL13,CL_0000540,neuron
2929,IL11,CL_0000138,chondrocyte
2930,TNFSF11,CL_0000137,osteocyte
2931,CX3CL1,CL_0002139,endothelial cell of vascular tree
2932,TGFB1,CL_0000545,T-helper 1 cell
2933,EBI3,CL_0000235,macrophage
2934,IL1A,CL_0002334,preadipocyte
2935,CSF3,CL_0002195,hepatic stem cell
2936,IL17C,CL_0000899,T-helper 17 cell
2937,IL22,CL_0000160,goblet cell
2938,IL27,CL_0000746,cardiac muscle cell
2939,IL1RN,CL_0000545,T-helper 1 cell
2940,PDGF,CL_0000771,eosinophil
2941,IL27,CL_0000912,helper T cell
2942,IL1RN,CL_0000682,M cell
2943,CCL21,CL_0000911,effector T cell
2944,CCL2,CL_0002368,respiratory epithelial cell
2945,IL1A,CL_0002483,hair follicle melanocyte
2946,CCL4,CL_0000545,T-helper 1 cell
2947,CXCL13,CL_0000912,helper T cell
2948,TNF,CL_0000319,mucus secreting cell
2949,IL21,CL_0000775,neutrophil
2950,TNF,CL_0000510,paneth cell
2951,IL9,CL_0000917,Tc1 cell
2952,IL34,CL_0000763,myeloid cell
2953,IL12,CL_0000767,basophil
2954,IL1B,CL_0000910,cytotoxic T cell
2955,FGF2,CL_0002453,oligodendrocyte precursor cell
2956,CCL6,CL_0000169,type B pancreatic cell
2957,CCL27,CL_0000738,leukocyte
2958,IL12,CL_0000788,naive B cell
2959,IL6,CL_1001319,bladder cell
2960,TDGF1P3,CL_0000746,cardiac muscle cell
2961,IL1B,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2962,CXCL12,CL_0000128,oligodendrocyte
2963,IFNA1,CL_0000624,"CD4-positive, alpha-beta T cell"
2964,IL4,CL_0000492,CD4-positive helper T cell
2965,IL23,CL_0000451,dendritic cell
2966,IL34,CL_0000129,microglial cell
2967,FGF1,CL_0000561,amacrine cell
2968,TNFSF13B,CL_0000788,naive B cell
2969,MIF,CL_0002319,neural cell
2970,CCL3,CL_0000049,common myeloid progenitor
2971,CCL23,CL_0000092,osteoclast
2972,HGF,CL_0000514,smooth muscle myoblast
2973,CSF1,CL_0000501,granulosa cell
2974,CCL23,CL_0000062,osteoblast
2975,TGFB,CL_0002350,endocardial cell
2976,CCL20,CL_0000236,B cell
2977,IL5,CL_0000611,eosinophil progenitor cell
2978,TGFB1,CL_0002150,epithelioid macrophage
2979,TGFB1,CL_0002334,preadipocyte
2980,IL10,CL_0000746,cardiac muscle cell
2981,CCL18,CL_0000771,eosinophil
2982,IL10,CL_0000125,glial cell
2983,FGF2,CL_0000081,blood cell
2984,IL6,CL_0001042,T-helper 22 cell
2985,KITLG,CL_0000312,keratinocyte
2986,CXCL13,CL_0000235,macrophage
2987,PPBP,CL_0000129,microglial cell
2988,IL19,CL_0000312,keratinocyte
2989,IFN1,CL_0000990,conventional dendritic cell
2990,IL7,CL_0000815,regulatory T cell
2991,IL17,CL_0002061,T-helper 9 cell
2992,IFNA1,CL_0000738,leukocyte
2993,IL23,CL_0000813,memory T cell
2994,CXCL12,CL_0000653,glomerular visceral epithelial cell
2995,HGF,CL_0000187,muscle cell
2996,IL18,CL_0000023,oocyte
2997,CCL25,CL_0000134,mesenchymal cell
2998,TGF,CL_0000136,fat cell
2999,IFNB1,CL_0002629,mature microglial cell
3000,CCL3,CL_0000129,microglial cell
3001,CCL20,CL_0000540,neuron
3002,EPO,CL_0000100,motor neuron
3003,TGFB,CL_0002563,intestinal epithelial cell
3004,IL15,CL_0000129,microglial cell
3005,TNFSF15,CL_0000911,effector T cell
3006,THPO,CL_0000786,plasma cell
3007,IL16,CL_0000127,astrocyte
3008,IFNB1,CL_0000903,natural T-regulatory cell
3009,CXCL6,CL_0000595,enucleate erythrocyte
3010,CCL4,CL_0000135,fibrocyte
3011,IL20,CL_0000312,keratinocyte
3012,SPP1,CL_0000061,cementoblast
3013,IL27,CL_0000898,naive T cell
3014,CCL3,CL_0000540,neuron
3015,IFNB1,CL_0000056,myoblast
3016,IL3,CL_0000134,mesenchymal cell
3017,TNF,CL_0002399,CD1c-positive myeloid dendritic cell
3018,IFN1,CL_0000510,paneth cell
3019,HGF,CL_0000650,mesangial cell
3020,CXCL16,CL_0000236,B cell
3021,TGFB,CL_0002148,dental pulp cell
3022,IL15,CL_0000499,stromal cell
3023,TGFA,CL_0000023,oocyte
3024,HGF,CL_1001611,cerebellar neuron
3025,HGF,CL_0000092,osteoclast
3026,CCL26,CL_0000322,pneumocyte
