,cytokine,cell,Cell ontology Label
441,IL3,CL_0000037,hematopoietic stem cell
442,IL1A,CL_0000775,neutrophil
443,FGF2,CL_0002139,endothelial cell of vascular tree
444,IL1,CL_0000499,stromal cell
445,LIF,CL_0000540,neuron
446,IL10,CL_0000815,regulatory T cell
447,CXCL12,CL_0000738,leukocyte
448,IFNG,CL_0000092,osteoclast
449,IL17,CL_0000084,T cell
450,IL3,CL_0000738,leukocyte
451,IL13,CL_0000771,eosinophil
452,IL1A,CL_0000084,T cell
453,TNF,CL_0000187,muscle cell
454,IL22,CL_0001042,T-helper 22 cell
455,IFNG,CL_0000557,granulocyte monocyte progenitor cell
456,TNFSF9,CL_0000576,monocyte
457,CXCL8,CL_0000066,epithelial cell
458,CSF1,CL_0000057,fibroblast
459,IL1,CL_0000062,osteoblast
460,CCL11,CL_0000767,basophil
461,TNF,CL_0000169,type B pancreatic cell
462,IL17,CL_0000062,osteoblast
463,CXCL8,CL_0000096,mature neutrophil
464,IL7,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
465,RETN,CL_0000115,endothelial cell
466,IL2,CL_0002092,bone marrow cell
467,TGFA,CL_0000066,epithelial cell
468,IL6,CL_0000138,chondrocyte
469,GDF15,CL_0000540,neuron
470,TGFB1,CL_0000625,"CD8-positive, alpha-beta T cell"
471,IL6,CL_0000557,granulocyte monocyte progenitor cell
472,CD40LG,CL_0000625,"CD8-positive, alpha-beta T cell"
473,IL6,CL_0000763,myeloid cell
474,TNF,CL_0000625,"CD8-positive, alpha-beta T cell"
475,IL23,CL_0000899,T-helper 17 cell
476,TGFB1,CL_0000540,neuron
477,CCL9,CL_0000092,osteoclast
478,EGF,CL_0000182,hepatocyte
479,CCL27,CL_0000084,T cell
480,IL1B,CL_0000084,T cell
481,CCL4,CL_0000235,macrophage
482,IL12,CL_0000576,monocyte
483,IL4,CL_0000738,leukocyte
484,TGFB,CL_0000034,stem cell
485,CXCL12,CL_0000233,platelet
486,CXCL8,CL_0000235,macrophage
487,IFNG,CL_0000583,alveolar macrophage
488,TGFB1,CL_0000632,hepatic stellate cell
489,CXCL8,CL_0002328,bronchial epithelial cell
490,TGFB,CL_0000899,T-helper 17 cell
491,CSF3,CL_0002619,adult endothelial progenitor cell
492,IL3,CL_0000092,osteoclast
493,MIF,CL_0000738,leukocyte
494,IL1B,CL_0000650,mesangial cell
495,IL17,CL_0000214,synovial cell
496,FGF2,CL_0000125,glial cell
497,FGF2,CL_0000359,vascular associated smooth muscle cell
498,IFNG,CL_0000824,mature natural killer cell
499,TGF,CL_0000134,mesenchymal cell
500,IL33,CL_0000775,neutrophil
501,TGFB1,CL_0000034,stem cell
502,CSF2,CL_0000236,B cell
503,IFNA,CL_0000545,T-helper 1 cell
504,TGFB,CL_0000738,leukocyte
505,FGF1,CL_0000115,endothelial cell
506,TGFB,CL_0000129,microglial cell
507,IL12,CL_0000898,naive T cell
508,IFNA,CL_0000182,hepatocyte
509,TGFA,CL_0000312,keratinocyte
510,TGFB1,CL_0000359,vascular associated smooth muscle cell
511,PF4,CL_0000115,endothelial cell
512,TNF,CL_0000134,mesenchymal cell
513,IL11,CL_0000034,stem cell
514,MIF,CL_0000235,macrophage
515,IL6,CL_0000581,peritoneal macrophage
516,TGFB,CL_0000499,stromal cell
517,IFNA,CL_0000233,platelet
518,IL4,CL_0000763,myeloid cell
519,IL1,CL_0000214,synovial cell
520,IL18,CL_0000546,T-helper 2 cell
521,CXCL2,CL_0000738,leukocyte
522,CX3CL1,CL_0000129,microglial cell
523,IL12,CL_0000738,leukocyte
524,IL1B,CL_0000136,fat cell
525,CSF3,CL_0000049,common myeloid progenitor
526,IL13,CL_0000057,fibroblast
527,IL21,CL_0000542,lymphocyte
528,TNF,CL_0000763,myeloid cell
529,CX3CL1,CL_0000233,platelet
530,IL1A,CL_0000182,hepatocyte
531,IL10,CL_0000910,cytotoxic T cell
532,TNFSF9,CL_0000624,"CD4-positive, alpha-beta T cell"
533,IFNG,CL_0000134,mesenchymal cell
534,IFNG,CL_0000232,erythrocyte
535,CXCL10,CL_0000738,leukocyte
536,IFNG,CL_0000556,megakaryocyte
537,IL6,CL_0000623,natural killer cell
538,TGFB1,CL_0002139,endothelial cell of vascular tree
539,CXCL12,CL_0002619,adult endothelial progenitor cell
540,CSF3,CL_0000835,myeloblast
541,IL33,CL_0000115,endothelial cell
542,CSF1,CL_0002092,bone marrow cell
543,IFNG,CL_0000233,platelet
544,LTA,CL_0000084,T cell
545,IL22,CL_0000066,epithelial cell
546,CSF2,CL_0000542,lymphocyte
547,CXCL8,CL_0000499,stromal cell
548,TNF,CL_0000653,glomerular visceral epithelial cell
549,SPP1,CL_0000738,leukocyte
550,TGFB1,CL_0000056,myoblast
551,IL17,CL_0000738,leukocyte
552,CCL3,CL_0000235,macrophage
553,TNF,CL_0000113,mononuclear phagocyte
554,TNF,CL_0000091,Kupffer cell
555,TNF,CL_0000034,stem cell
556,IL23,CL_0000092,osteoclast
557,IL1B,CL_0000899,T-helper 17 cell
558,CD40LG,CL_0000235,macrophage
559,CSF2,CL_0000034,stem cell
560,FGF2,CL_0000214,synovial cell
561,CCL9,CL_0000182,hepatocyte
562,CSF2,CL_0000129,microglial cell
563,TNF,CL_0000218,myelinating Schwann cell
564,IL6,CL_0000056,myoblast
565,IFNB1,CL_0000542,lymphocyte
566,IL4,CL_0000182,hepatocyte
567,CXCL12,CL_0000169,type B pancreatic cell
568,CCL3,CL_0000738,leukocyte
569,FGF2,CL_0000047,neuronal stem cell
570,CD40LG,CL_0000542,lymphocyte
571,IFNB1,CL_0000624,"CD4-positive, alpha-beta T cell"
572,IL21,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
573,TGFB1,CL_0002622,prostate stromal cell
574,TGFB,CL_0000763,myeloid cell
575,IFNB1,CL_0000775,neutrophil
576,IL17A,CL_0000312,keratinocyte
577,CSF2,CL_0000784,plasmacytoid dendritic cell
578,CXCL8,CL_0000312,keratinocyte
579,TGFB1,CL_0000556,megakaryocyte
580,TNFSF4,CL_0000624,"CD4-positive, alpha-beta T cell"
581,IL4,CL_0000775,neutrophil
582,IL1B,CL_0000233,platelet
583,TNF,CL_0000650,mesangial cell
584,IFNG,CL_0000782,myeloid dendritic cell
585,IL6,CL_0000019,sperm
586,IL10,CL_0000451,dendritic cell
587,CXCL8,CL_0000094,granulocyte
588,IL6,CL_1000488,cholangiocyte
589,CXCL8,CL_0000037,hematopoietic stem cell
590,IL21,CL_0000624,"CD4-positive, alpha-beta T cell"
591,IL5,CL_0000624,"CD4-positive, alpha-beta T cell"
592,CCL2,CL_0000546,T-helper 2 cell
593,IL4,CL_0000623,natural killer cell
594,IL1B,CL_0000583,alveolar macrophage
595,IFN1,CL_0000623,natural killer cell
596,CSF3,CL_0000746,cardiac muscle cell
597,IL3,CL_0000235,macrophage
598,IL1,CL_0000650,mesangial cell
599,TNF,CL_0000192,smooth muscle cell
600,IL1B,CL_1001607,articular chondrocyte
601,FGF2,CL_0002608,hippocampal neuron
602,CSF1,CL_0000540,neuron
603,IL15,CL_0000545,T-helper 1 cell
604,TNFSF15,CL_0000084,T cell
605,CCL22,CL_0000084,T cell
606,IL27,CL_0000084,T cell
607,CSF2,CL_0000312,keratinocyte
608,CXCL10,CL_0000771,eosinophil
609,IL1B,CL_0000192,smooth muscle cell
610,TGFB1,CL_0002327,mammary epithelial cell
611,IL1,CL_0000169,type B pancreatic cell
612,IFN1,CL_0000545,T-helper 1 cell
613,IL33,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
614,IL2,CL_0000235,macrophage
615,IL4,CL_0000910,cytotoxic T cell
616,TGFB2,CL_0000115,endothelial cell
617,IFNB1,CL_0000545,T-helper 1 cell
618,FGF2,CL_0002334,preadipocyte
619,TNF,CL_0000910,cytotoxic T cell
620,IL31,CL_0000101,sensory neuron
621,CXCL12,CL_0000037,hematopoietic stem cell
622,LIF,CL_0000235,macrophage
623,CCL24,CL_0000771,eosinophil
624,IFNG,CL_0000056,myoblast
625,IL33,CL_0000623,natural killer cell
626,TGFB,CL_0002620,skin fibroblast
627,CXCL12,CL_0000236,B cell
628,IL27,CL_0000235,macrophage
629,IFNB1,CL_0000057,fibroblast
630,IL18,CL_0000771,eosinophil
631,TGFB1,CL_0000182,hepatocyte
632,IL13,CL_0002328,bronchial epithelial cell
633,IL1B,CL_0000236,B cell
634,TNF,CL_0002372,myotube
635,CXCL8,CL_0000084,T cell
636,TNF,CL_0002629,mature microglial cell
637,IL7,CL_0000898,naive T cell
638,IL1A,CL_0000235,macrophage
639,IL17A,CL_0000136,fat cell
640,IL4,CL_0000788,naive B cell
641,CCL2,CL_0000092,osteoclast
642,HGF,CL_0002563,intestinal epithelial cell
643,IL17,CL_0000540,neuron
