cytokine,cell
LTA,"CD8-positive, alpha-beta T cell"
IL1B,preadipocyte
GDF15,endothelial cell
IL3,platelet
IL17A,eosinophil
CCL2,fibrocyte
CCL18,T cell
IL33,cardiac muscle cell
IL2,keratinocyte
CCL20,lymphocyte
IL2,naive T cell
FGF2,epithelial cell
IL17,mesenchymal cell
TGFB1,granulosa cell
IL1B,mesenchymal cell
CD40LG,monocyte
TGFB1,motor neuron
IL6,bone cell
FGF2,platelet
IFNG,granulocyte
PF4,fibroblast
PF4,neutrophil
CSF1,Kupffer cell
IL1,neuron
IL1A,stem cell
IL2,"CD8-positive, alpha-beta cytotoxic T cell"
CCL4,lymphocyte
IL17,bronchial epithelial cell
IL3,endothelial cell
IL7,natural killer cell
IL9,T cell
CSF3,dopaminergic neuron
CCL2,epithelial cell
IL2,fetal thymocyte
TGFB,bladder cell
CCL2,natural killer cell
PF4,leukocyte
CSF3,eosinophil
CCL2,glomerular visceral epithelial cell
PPBP,myoblast
TGFA,chondrocyte
IFNG,keratocyte
IL6,plasmablast
CXCL8,stem cell
IFNB1,glial cell
IL1B,natural killer cell
IL7,stem cell
FGF2,microglial cell
TGF,lymphocyte
IL33,dendritic cell
IL17A,platelet
TNF,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
LIF,astrocyte
PPBP,connective tissue cell
IL10,endothelial cell
IL15,intestinal epithelial cell
IL33,leukocyte
LIF,stem cell
CXCL10,lymphocyte
IL6,oligodendrocyte
LECT1,endothelial cell
FGF2,muscle cell
EPO,bone marrow cell
TGFB3,fibroblast
TNF,adult endothelial progenitor cell
TGFB1,platelet
TNF,skeletal muscle cell
IL1,alveolar macrophage
CCL15,leukocyte
PF4,mast cell
IFNG,muscle cell
TGFB,"CD4-positive, alpha-beta intraepithelial T cell"
CCL3,mesenchymal cell
PDGF,aortic smooth muscle cell
TGFB1,fibroblast of outer membrane of prostatic capsule
IL10,alternatively activated macrophage
CXCL10,"CD4-positive, alpha-beta T cell"
IL10,mast cell
CCL2,stromal cell
FGF2,vein endothelial cell
FGF2,fat cell
PDGFB,fibroblast
TGFB1,trophoblast cell
MIF,neutrophil
IL1RN,T-helper 17 cell
CSF2,mast cell
IL11,B cell
IL4,goblet cell
PDGF,macrophage
IL17,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
PDGFB,stromal cell
IL1B,mast cell
IL1B,megakaryocyte
PDGF,neuron
IL17,dendritic cell
CCL2,epithelial cell of prostate
CXCL8,fibroblast
TGFB2,keratinocyte
IL27,hepatocyte
IL4,bone marrow cell
IL17A,natural killer cell
IL10,neuron
IL27,"CD4-positive, alpha-beta T cell"
TGFB1,cortical cell of adrenal gland
IL9,leukocyte
CCL2,fat cell
CCL2,inflammatory macrophage
FGF2,hemangioblast
HGF,type B pancreatic cell
CCL3,"CD4-positive, alpha-beta T cell"
TGFB,neutrophil
CXCL10,hepatocyte
CSF2,professional antigen presenting cell
IL6,stem cell
