cytokine,cell
TGFB1,cytotoxic T cell
IFNA,plasmacytoid dendritic cell
IL1,B cell
IL1A,T-helper 1 cell
CCL20,"CD8-positive, alpha-beta cytotoxic T cell"
THPO,platelet
IL1B,fibroblast
TNF,thymocyte
CXCL12,platelet
IL17A,epithelial cell of lung
TGFB,"CD8-positive, alpha-beta memory T cell"
IL6,professional antigen presenting cell
IL22,epithelial cell of lung
CCL6,T cell
PDGF,hematopoietic stem cell
IL27,T-helper 9 cell
EPO,lymphocyte
EPO,macrophage
IL10,alveolar macrophage
IL12,cytotoxic T cell
LTA,"CD8-positive, alpha-beta T cell"
TGFB2,leukocyte
IFNL2,eosinophil
IL1B,preadipocyte
TNFSF9,natural killer cell
CD40LG,regulatory T cell
IL4,germinal center B cell
IL19,leukocyte
IL24,embryonic stem cell
IL21,mature NK T cell
CX3CL1,leukocyte
IL13,alternatively activated macrophage
IL1RN,myelinating Schwann cell
FGF2,corneal endothelial cell
IL17A,macrophage
IFNA,megakaryocyte
IFNL3,T cell
CCL2,T-helper 1 cell
IFNL1,hepatocyte
IL32,natural killer cell
CCL2,"CD14-positive, CD16-positive monocyte"
CD40LG,T-helper 1 cell
IL3,chondrocyte
IL6,induced T-regulatory cell
CXCL10,Tc1 cell
FGF2,macrophage
IFNA,fat cell
PF4,fibroblast
IL16,T cell
IL13,T-helper 2 cell
TNF,oligodendrocyte
LTA,M cell
PF4,neutrophil
IFNB1,"CD8-positive, alpha-beta T cell"
CXCL8,T cell
IL2,T-helper 17 cell
CCL20,intestinal epithelial cell
IL11,macrophage
CXCL12,mast cell
IFNG,bladder cell
IL22,T cell
GDF15,osteoclast
TNF,peritoneal macrophage
IL5,lymphocyte
IL1RN,mast cell
IL3,megakaryocyte
IFNG,helper T cell
CSF3,T-helper 1 cell
IL6,myoblast
CCL3,"CD8-positive, alpha-beta T cell"
IL1B,parietal cell
EGF,fibroblast
TGFB1,induced T-regulatory cell
IL12,Tc17 cell
IL4,myeloid cell
IL6,helper T cell
IL4,hepatocyte
IL18,T-helper 2 cell
CXCL10,type B pancreatic cell
CCL3,leukocyte
CSF3,peritoneal macrophage
CXCL10,intestinal epithelial cell
IL13,neuron
EPO,proerythroblast
CCL21,T cell
IL12B,B cell
TNF,goblet cell
TGFB,"CD8-positive, alpha-beta cytotoxic T cell"
TGFB,bronchial epithelial cell
TNF,cortical cell of adrenal gland
IFNG,effector T cell
TGFB,brown fat cell
IL33,"CD8-positive, alpha-beta T cell"
CSF3,plasma cell
IL1RN,pneumocyte
TNF,stromal cell
IL10,platelet
CCL3,granulocyte monocyte progenitor cell
CSF2,inflammatory macrophage
IFNG,keratocyte
IL1B,retinal cell
TGFB1,glomerular visceral epithelial cell
IFNL2,natural killer cell
IFNB1,dopaminergic neuron
CCL3,osteoclast
CXCL12,granulosa cell
CXCL12,hepatocyte
IFNA,professional antigen presenting cell
IL35,"CD4-positive, alpha-beta T cell"
CSF3,lymphocyte
CX3CL1,macrophage
IL11,oligodendrocyte
CXCL10,"CD8-positive, alpha-beta T cell"
IL32,dendritic cell
EGF,stromal cell
CSF3,granulocyte monocyte progenitor cell
SPP1,T cell
FGF2,aortic endothelial cell
IL18,keratinocyte
IFNG,lining cell
IFNG,melanocyte
IFN1,erythroid lineage cell
IL12,blood cell
CSF2,granulocyte
TNFSF11,hypertrophic chondrocyte
IFNA,leukocyte
IL17,memory T cell
IL27,monocyte
CSF2,B cell
IL17,hepatocyte
TGFB,leukocyte
IFNA,eosinophil
IL17,epithelial cell
FGF2,fat cell
TGFB1,megakaryocyte
CX3CL1,muscle cell
IL6,dendritic cell
SPP1,osteoblast
PDGFB,hepatic stellate cell
IL17A,leukocyte
EGF,oocyte
IFNL3,B cell
IL13,goblet cell
IL1A,keratinocyte
IL5,mature eosinophil
IL6,sperm
CSF2,Langerhans cell
CX3CL1,platelet
IL4,follicular dendritic cell
IL35,T cell
CXCL1,astrocyte
IL17,induced T-regulatory cell
IL21,T-helper 9 cell
IL15,myeloid cell
IL1RN,trophoblast cell
IFNG,muscle cell
FGF2,neuron of cerebral cortex
TGFA,enterocyte
IL27,platelet
IL10,granulocyte monocyte progenitor cell
TGFB,fat cell
CSF1,mononuclear phagocyte
IL1,stem cell
CCL5,neutrophil
IL4,conventional dendritic cell
IL4,peritoneal macrophage
FGF2,myoblast
IL10,Langerhans cell
IL1A,chondrocyte
IL1,osteoblast
CSF1,"CD14-positive, CD16-positive monocyte"
IL4,induced T-regulatory cell
TNFSF9,macrophage
IL17A,alveolar macrophage
