,cytokine,cell,source
574,CSF3,osteoblast,cell-cytokine
575,CSF3,hippocampal neuron,cell-cytokine
576,CSF3,hepatocyte,cell-cytokine
577,CSF3,"CD8-positive, alpha-beta T cell",cell-cytokine
578,CSF3,megakaryocyte,cell-cytokine
579,CSF3,microglial cell,cell-cytokine
580,CSF3,blood cell,cell-cytokine
581,CSF3,"CD4-positive, alpha-beta T cell",cell-cytokine
582,CSF3,astrocyte,cell-cytokine
583,CSF3,neural cell,cell-cytokine
584,CSF3,peritoneal macrophage,cell-cytokine
585,CSF3,smooth muscle myoblast,cell-cytokine
586,CSF3,dendritic cell,cell-cytokine
587,CSF3,T-helper 17 cell,cell-cytokine
588,CSF3,keratinocyte,cell-cytokine
589,CSF3,myelinating Schwann cell,cell-cytokine
590,CSF3,myotube,cell-cytokine
591,CSF3,hepatic stem cell,cell-cytokine
592,CSF3,synovial cell,cell-cytokine
593,CSF3,T-helper 2 cell,cell-cytokine
594,CSF3,mature NK T cell,cell-cytokine
595,CSF3,immature neutrophil,cell-cytokine
596,CSF3,muscle cell,cell-cytokine
